path	kind	current_owner	target_owner	provenance	disposition	planned_s	reason
tools/build/New-T225S7FullNinjaGraph.ps1	build-input	build-tool	tools/build	project-authored build tool	retain/update-paths	S8	formal build graph input
tools/build/t225-s7-full-module-manifest.json	build-input	build-tool	tools/build	project-authored build tool	retain/update-paths	S8	formal build graph input
tests/bx-mantle/bx_ntvdm_engine_contract_v1_test.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm
tests/bx-mantle/t199_s22_a20_capability_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host, cli
tests/bx-mantle/t200_s22_machine_stage_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, bx-vdm, opennt-host
tests/bx-mantle/t225_s23_native_pic_lifecycle_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t225_s23_ram_preflight_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t225_s30_segment_access_observation_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t225_s40_mantle_watchdog_normal_loop_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t225_s50_realmode_handoff_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle, bx-vdm, opennt-host, cli
tests/bx-mantle/t225_s56_realmode_segment_limit_compatibility_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t228_s1_budget_terminal_position_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t228_s1_interrupt_return_observation_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t228_s1_large_reverse_copy_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t228_s1_software_interrupt_observation_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t230_s15_checked_ram_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t236_s2_machine_pending_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t236_s2_native_cmdexec32_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-mantle/t237_s3_xms_a20_source_mirror_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-mantle/t244_s2_headless_8042_lifecycle_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t246_s2_softpc_machine_interrupt_ingress_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-mantle/t249_s3_physical_write_observation_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-core, bx-mantle
tests/bx-mantle/t253_s2_physical_irq_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-mantle, bx-core
tests/bx-mantle/t255_s2_generic_context_resume_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-mantle, bx-core
tests/bx-mantle/t256_s6_guest_memory_geometry_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-mantle, bx-core
tests/bx-mantle/t256_s8_ordinary_ram_reservation_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-mantle, bx-core
tests/bx-mantle/t257_s3_native_guest_ldt_fixture.cc	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-mantle, bx-core
tests/bx-vdm/t230_s10_dem_ingress_direct_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t230_s10_dem_native_session_direct_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t230_s10_demdisp_direct_import_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t230_s15_direct_host_session_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core
tests/bx-vdm/t230_s15_v2_runtime_session_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, cli, bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t230_s2_demhndl_direct_import_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t230_s3_demfile_direct_import_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t230_s4_demdir_direct_import_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t230_s5_demsrch_fcb_direct_import_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t230_s6_demgset_direct_import_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t230_s7_demdasd_ioctl_direct_import_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t230_s8_demerror_lock_direct_import_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t230_s9_demmisc_direct_import_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t231_s10_command_native_session_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t231_s2_command_misc_direct_import_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
tests/bx-vdm/t231_s3_command_misc_registration_fixture.c	fixture	formal-fixture	TEST-CLASSIFY	project-authored test	review/move-with-owner	S8	libraries: bx-vdm, bx-mantle, bx-core, opennt-host
