review_id	review_cluster	profile_class	source_path	static_candidate_count	candidate_kinds	candidate_symbols	compiler_diagnostic_occurrence_count	compiler_unique_diagnostic_count	compiler_warning_counts	source_review_state	required_source_review
T310-S8-P4-REVIEW-0001	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/bde/bde.h	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0002	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/bde/bdemisc.c	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0003	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/bde/bdeutil.c	9	architecture-conditional:7;function-pointer-indirect-call:2	ReadProcessMemWinDbg;WriteProcessMemWinDbg	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0004	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/bde/disasm.c	2	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1	pfn	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0005	MVDM-BDE-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/bde/precomp.h	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0006	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dbg/dbg.c	40	architecture-conditional:35;pointer-to-fixed-width-conversion:5	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0007	MVDM-DOS-OWNER-PACKAGE	compiler-crosscheck-only	src/mvdm-host/dos/command/cmd.c	0		-	6	6	C4100:4;C4131:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0008	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dos/command/cmd.h	3	architecture-conditional:1;function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1	PFNSVC	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0009	MVDM-DOS-OWNER-PACKAGE	compiler-crosscheck-only	src/mvdm-host/dos/command/cmdconf.c	0		-	23	23	C4244:2;C4267:4;C4312:1;C4996:16	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0010	MVDM-DOS-OWNER-PACKAGE	compiler-crosscheck-only	src/mvdm-host/dos/command/cmdenv.c	0		-	32	32	C4013:8;C4244:2;C4267:12;C4706:2;C4996:8	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0011	MVDM-DOS-OWNER-PACKAGE	compiler-crosscheck-only	src/mvdm-host/dos/command/cmdexec.c	0		-	48	48	C4013:2;C4057:4;C4189:2;C4267:1;C4311:13;C4312:8;C4459:2;C4996:16	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
